IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.242.171.94,2083,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,6523 kB/s
47.243.86.79,2096,TRUE,HKG,Asia Pacific,Hong Kong,70 ms,6508 kB/s
47.243.60.150,8443,TRUE,HKG,Asia Pacific,Hong Kong,62 ms,6498 kB/s
47.243.5.154,2053,TRUE,HKG,Asia Pacific,Hong Kong,63 ms,6492 kB/s
47.243.107.148,2083,TRUE,HKG,Asia Pacific,Hong Kong,67 ms,6485 kB/s
8.210.175.109,8443,TRUE,HKG,Asia Pacific,Hong Kong,73 ms,6421 kB/s
47.76.33.40,2083,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,6403 kB/s
47.243.27.217,2096,TRUE,HKG,Asia Pacific,Hong Kong,54 ms,6369 kB/s
8.218.53.110,2087,TRUE,HKG,Asia Pacific,Hong Kong,64 ms,6362 kB/s
47.243.5.154,8443,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,6351 kB/s
8.217.145.40,2087,TRUE,HKG,Asia Pacific,Hong Kong,66 ms,6073 kB/s
47.242.54.157,2096,TRUE,HKG,Asia Pacific,Hong Kong,70 ms,6004 kB/s
47.242.252.237,2053,TRUE,HKG,Asia Pacific,Hong Kong,68 ms,5990 kB/s
8.218.122.55,2083,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,5829 kB/s
8.210.3.24,2096,TRUE,HKG,Asia Pacific,Hong Kong,67 ms,5656 kB/s
8.210.34.188,8443,TRUE,HKG,Asia Pacific,Hong Kong,57 ms,5559 kB/s
8.217.232.246,2083,TRUE,HKG,Asia Pacific,Hong Kong,65 ms,5524 kB/s
8.210.245.224,2083,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,5370 kB/s
8.210.174.156,2087,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,5352 kB/s
47.242.176.237,2083,TRUE,HKG,Asia Pacific,Hong Kong,67 ms,5310 kB/s
8.210.3.24,8443,TRUE,HKG,Asia Pacific,Hong Kong,78 ms,5293 kB/s
47.242.234.127,2087,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,5089 kB/s
47.242.176.237,2087,TRUE,HKG,Asia Pacific,Hong Kong,67 ms,4835 kB/s
47.76.204.76,2087,TRUE,HKG,Asia Pacific,Hong Kong,54 ms,4828 kB/s
47.76.77.103,2083,TRUE,HKG,Asia Pacific,Hong Kong,71 ms,4709 kB/s
8.217.232.246,8443,TRUE,HKG,Asia Pacific,Hong Kong,63 ms,4690 kB/s
